[14:50:26] ###LOG START###
[14:51:51] Kernel Time: 18.885281ms
[14:51:51] Kernel Time: 18.885376ms
[14:51:51] Kernel Time: 18.886784ms
[14:51:51] Kernel Time: 18.885536ms
[14:51:51] Kernel Time: 18.886688ms
[14:51:51] Kernel Time: 18.884319ms
[14:51:51] Kernel Time: 18.884417ms
[14:51:51] Kernel Time: 18.884352ms
[14:51:51] Kernel Time: 18.881184ms
[14:51:51] Kernel Time: 18.884384ms
[14:51:51] Kernel Time: 18.881439ms
[14:51:51] Kernel Time: 18.880800ms
[14:51:51] Kernel Time: 18.885281ms
[14:51:52] Kernel Time: 18.884672ms
[14:51:52] Kernel Time: 18.884960ms
[14:51:52] Kernel Time: 18.881311ms
[14:51:52] Kernel Time: 18.885536ms
[14:51:52] Kernel Time: 18.881504ms
[14:51:52] Kernel Time: 18.882048ms
[14:51:52] Kernel Time: 18.879936ms
[14:51:52] Kernel Time: 18.882208ms
[14:51:52] Kernel Time: 18.882145ms
[14:51:52] Kernel Time: 18.882303ms
[14:51:52] Kernel Time: 18.882816ms
[14:51:52] Kernel Time: 18.882080ms
[14:51:52] Kernel Time: 18.882849ms
[14:51:52] Kernel Time: 18.882145ms
[14:51:52] Kernel Time: 18.878944ms
[14:51:52] Kernel Time: 18.881409ms
[14:51:52] Kernel Time: 18.880863ms
[14:51:52] Kernel Time: 18.881184ms
[14:51:52] Kernel Time: 18.881760ms
[14:51:52] Kernel Time: 18.882689ms
[14:51:52] Kernel Time: 18.883968ms
[14:51:52] Kernel Time: 18.882015ms
[14:51:52] Kernel Time: 18.883360ms
[14:51:52] Kernel Time: 18.884960ms
[14:51:52] Kernel Time: 18.883327ms
[14:51:52] Kernel Time: 18.882879ms
[14:51:52] Kernel Time: 18.883904ms
[14:51:52] Kernel Time: 18.884256ms
[14:51:52] Kernel Time: 18.889536ms
[14:51:52] Kernel Time: 18.885536ms
[14:51:52] Kernel Time: 18.887520ms
[14:51:52] Kernel Time: 18.883295ms
[14:51:52] Kernel Time: 18.884640ms
[14:51:52] Kernel Time: 18.887104ms
[14:51:52] Kernel Time: 18.885311ms
[14:51:53] Kernel Time: 18.886145ms
[14:51:53] Kernel Time: 18.884640ms
[14:51:53] Kernel Time: 18.882879ms
[14:51:53] Kernel Time: 18.884192ms
[14:51:53] Kernel Time: 18.882496ms
[14:51:53] Kernel Time: 18.887169ms
[14:51:53] Kernel Time: 18.888321ms
[14:51:53] Kernel Time: 18.887199ms
[14:51:53] Kernel Time: 18.887873ms
[14:51:53] Kernel Time: 18.889280ms
[14:51:53] Kernel Time: 18.886368ms
[14:51:53] Kernel Time: 18.888544ms
[14:51:53] Kernel Time: 18.886751ms
[14:51:53] Kernel Time: 18.887615ms
[14:51:53] Kernel Time: 18.887232ms
[14:51:53] Kernel Time: 18.889215ms
[14:51:53] Kernel Time: 18.889343ms
[14:51:53] Kernel Time: 18.890432ms
[14:51:53] Kernel Time: 18.888096ms
[14:51:53] Kernel Time: 18.890177ms
[14:51:53] Kernel Time: 18.891169ms
[14:51:53] Kernel Time: 18.891552ms
[14:51:53] Kernel Time: 18.886911ms
[14:51:53] Kernel Time: 18.886881ms
[14:51:53] Kernel Time: 18.887745ms
[14:51:53] Kernel Time: 18.888544ms
[14:51:53] Kernel Time: 18.889889ms
[14:51:53] Kernel Time: 18.885120ms
[14:51:53] Kernel Time: 18.883841ms
[14:51:53] Kernel Time: 18.884417ms
[14:51:53] Kernel Time: 18.886463ms
[14:51:53] Kernel Time: 18.884544ms
[14:51:53] Kernel Time: 18.885920ms
[14:51:53] Kernel Time: 18.885887ms
[14:51:53] Kernel Time: 18.890944ms
[14:51:53] Kernel Time: 18.889952ms
[14:51:54] Kernel Time: 18.888704ms
[14:51:54] Kernel Time: 18.885664ms
[14:51:54] Kernel Time: 18.886976ms
[14:51:54] Kernel Time: 18.885696ms
[14:51:54] Kernel Time: 18.882496ms
[14:51:54] Kernel Time: 18.882240ms
[14:51:54] Kernel Time: 18.885824ms
[14:51:54] Kernel Time: 18.886080ms
[14:51:54] Kernel Time: 18.882912ms
[14:51:54] Kernel Time: 18.883841ms
[14:51:54] Kernel Time: 18.885887ms
[14:51:54] Kernel Time: 18.888992ms
[14:51:54] Kernel Time: 18.888577ms
[14:51:54] Kernel Time: 18.890207ms
[14:51:54] Kernel Time: 18.887680ms
[14:51:54] Kernel Time: 18.890017ms
[14:51:54] Kernel Time: 18.890495ms
[14:51:54] Kernel Time: 18.889185ms
[14:51:54] Kernel Time: 18.890112ms
[14:51:54] Kernel Time: 18.889248ms
[14:51:54] Kernel Time: 18.891008ms
[14:51:54] Kernel Time: 18.889120ms
[14:51:54] Kernel Time: 18.886881ms
[14:51:54] Kernel Time: 18.886463ms
[14:51:54] Kernel Time: 18.887457ms
[14:51:54] Kernel Time: 18.887457ms
[14:51:54] Kernel Time: 18.888449ms
[14:51:54] Kernel Time: 18.889568ms
[14:51:54] Kernel Time: 18.886017ms
[14:51:54] Kernel Time: 18.889441ms
[14:51:54] Kernel Time: 18.887487ms
[14:51:54] Kernel Time: 18.886433ms
[14:51:54] Kernel Time: 18.887775ms
[14:51:54] Kernel Time: 18.886721ms
[14:51:54] Kernel Time: 18.888288ms
[14:51:54] Kernel Time: 18.886496ms
[14:51:55] Kernel Time: 18.885824ms
[14:51:55] Kernel Time: 18.886944ms
[14:51:55] Kernel Time: 18.884192ms
[14:51:55] Kernel Time: 18.884928ms
[14:51:55] Kernel Time: 18.882145ms
[14:51:55] Kernel Time: 18.884159ms
[14:51:55] Kernel Time: 18.883200ms
[14:51:55] Kernel Time: 18.881792ms
[14:51:55] Kernel Time: 18.884640ms
[14:51:55] Kernel Time: 18.883871ms
[14:51:55] Kernel Time: 18.885376ms
[14:51:55] Kernel Time: 18.887615ms
[14:51:55] Kernel Time: 18.889408ms
[14:51:55] Kernel Time: 18.887327ms
[14:51:55] Kernel Time: 18.886816ms
[14:51:55] Kernel Time: 18.887775ms
[14:51:55] Kernel Time: 18.884577ms
[14:51:55] Kernel Time: 18.886175ms
[14:51:55] Kernel Time: 18.884447ms
[14:51:55] Kernel Time: 18.886400ms
[14:51:55] Kernel Time: 18.884865ms
[14:51:55] Kernel Time: 18.885153ms
[14:51:55] Kernel Time: 18.883904ms
[14:51:55] Kernel Time: 18.886175ms
[14:51:55] Kernel Time: 18.883520ms
[14:51:55] Kernel Time: 18.884640ms
[14:51:55] Kernel Time: 18.884129ms
[14:51:55] Kernel Time: 18.882751ms
[14:51:55] Kernel Time: 18.885759ms
[14:51:55] Kernel Time: 18.884577ms
[14:51:55] Kernel Time: 18.886593ms
[14:51:55] Kernel Time: 18.885183ms
[14:51:55] Kernel Time: 18.888704ms
[14:51:55] Kernel Time: 18.886560ms
[14:51:56] Kernel Time: 18.882816ms
[14:51:56] Kernel Time: 18.886944ms
[14:51:56] Kernel Time: 18.885824ms
[14:51:56] Kernel Time: 18.885281ms
[14:51:56] Kernel Time: 18.884417ms
[14:51:56] Kernel Time: 18.883520ms
[14:51:56] Kernel Time: 18.880928ms
[14:51:56] Kernel Time: 18.886881ms
[14:51:56] Kernel Time: 18.884577ms
[14:51:56] Kernel Time: 18.891041ms
[14:51:56] Kernel Time: 18.890495ms
[14:51:56] Kernel Time: 18.886848ms
[14:51:56] Kernel Time: 18.885183ms
[14:51:56] Kernel Time: 18.884895ms
[14:51:56] Kernel Time: 18.888512ms
[14:51:56] Kernel Time: 18.886784ms
[14:51:56] Kernel Time: 18.889088ms
[14:51:56] Kernel Time: 18.886208ms
[14:51:56] Kernel Time: 18.890528ms
[14:51:56] Kernel Time: 18.890305ms
[14:51:56] Kernel Time: 18.890112ms
[14:51:56] Kernel Time: 18.884960ms
[14:51:56] Kernel Time: 18.884928ms
[14:51:56] Kernel Time: 18.891617ms
[14:51:56] Kernel Time: 18.893345ms
[14:51:56] Kernel Time: 18.890047ms
[14:51:56] Kernel Time: 18.888384ms
[14:51:56] Kernel Time: 18.889889ms
[14:51:56] Kernel Time: 18.889536ms
[14:51:56] Kernel Time: 18.887745ms
[14:51:56] Kernel Time: 18.886145ms
[14:51:56] Kernel Time: 18.889664ms
[14:51:56] Kernel Time: 18.886335ms
[14:51:56] Kernel Time: 18.885792ms
[14:51:56] Kernel Time: 18.886272ms
[14:51:56] Kernel Time: 18.886688ms
[14:51:56] Kernel Time: 18.887552ms
[14:51:56] Kernel Time: 18.887840ms
[14:51:57] Kernel Time: 18.883553ms
[14:51:57] Kernel Time: 18.885729ms
[14:51:57] Kernel Time: 18.888161ms
[14:51:57] Kernel Time: 18.887552ms
[14:51:57] Kernel Time: 18.883200ms
[14:51:57] Kernel Time: 18.884832ms
[14:51:57] Kernel Time: 18.883904ms
[14:51:57] Kernel Time: 18.884417ms
[14:51:57] Kernel Time: 18.881184ms
[14:51:57] Kernel Time: 18.882145ms
[14:51:57] Kernel Time: 18.883968ms
[14:51:57] Kernel Time: 18.883936ms
[14:51:57] Kernel Time: 18.881311ms
[14:51:57] Kernel Time: 18.881376ms
[14:51:57] Kernel Time: 18.880192ms
[14:51:57] Kernel Time: 18.884960ms
[14:51:57] Kernel Time: 18.885023ms
[14:51:57] Kernel Time: 18.885759ms
[14:51:57] Kernel Time: 18.886593ms
[14:51:57] Kernel Time: 18.888737ms
[14:51:57] Kernel Time: 18.885311ms
[14:51:57] Kernel Time: 18.885376ms
[14:51:57] Kernel Time: 18.886911ms
[14:51:57] Kernel Time: 18.883360ms
[14:51:57] Kernel Time: 18.882591ms
[14:51:57] Kernel Time: 18.886272ms
[14:51:57] Kernel Time: 18.882816ms
[14:51:57] Kernel Time: 18.884768ms
[14:51:57] Kernel Time: 18.886175ms
[14:51:57] Kernel Time: 18.885920ms
[14:51:57] Kernel Time: 18.883137ms
[14:51:57] Kernel Time: 18.884640ms
[14:51:57] Kernel Time: 18.883232ms
[14:51:57] Kernel Time: 18.884768ms
[14:51:57] Kernel Time: 18.884159ms
[14:51:57] Kernel Time: 18.882433ms
[14:51:57] Kernel Time: 18.884129ms
[14:51:58] Kernel Time: 18.879200ms
[14:51:58] Kernel Time: 18.882879ms
[14:51:58] Kernel Time: 18.881088ms
[14:51:58] Kernel Time: 18.879488ms
[14:51:58] Kernel Time: 18.881536ms
[14:51:58] Kernel Time: 18.883841ms
[14:51:58] Kernel Time: 18.883904ms
[14:51:58] Kernel Time: 18.884735ms
[14:51:58] Kernel Time: 18.884607ms
[14:51:58] Kernel Time: 18.882912ms
[14:51:58] Kernel Time: 18.884192ms
[14:51:58] Kernel Time: 18.883553ms
[14:51:58] Kernel Time: 18.888224ms
